start log content
tm=2019-07-17 17:36:35,change:p9战斗方法更新,wdz
tm=2019-07-17 17:58:25,change:p9游戏logo更新,wdz
tm=2019-07-17 20:07:11,change:p9每日任务 充值奖励 按钮显示问题,wdz
tm=2019-07-18 10:03:44,change:p9 按home键重新登录游戏问题,wdz
tm=2019-07-18 10:09:41,change:p9 关闭新手引导,wdz
tm=2019-08-05 10:27:52,change:p9逻辑优化,wdz
tm=2019-10-12 14:16:17,change:p9注册只使用login_viwe,wdz
tm=2019-10-17 14:18:56,change:p9文件更新,wdz
tm=2019-10-23 10:35:04,change:p9冰果ios更新关闭,wdz
tm=2019-10-24 15:14:16,change:p9冰果酒馆记录增加,wdz
tm=2019-10-31 09:39:33,change:p9修改配置表加载逻辑,wdz
tm=2019-11-01 13:57:50,change:p9调整邮箱刷新间隔,wdz
tm=2019-11-01 18:56:19,change:p9香港版本购买元宝名称位置调整,wdz
tm=2019-11-13 19:56:29,change:p9优化上阵,wdz
tm=2019-11-14 16:43:38,change:p9优化model,wdz
tm=2019-11-14 19:00:52,change:p9活动优化,wdz
tm=2019-11-15 11:13:44,change:p9卡顿优化,wdz
tm=2019-11-15 15:33:58,change:p9主城红点15秒刷新一次,邮件定时刷新删除,wdz
tm=2019-11-19 16:04:30,change:p9脏字优化,wdz
tm=2019-11-19 19:03:24,change:p9卡顿数据不刷新修复,wdz
tm=2019-11-20 19:37:10,change:p9数据模型卡顿判断修改,wdz
tm=2019-11-22 10:25:18,change:p9主城目标按钮调整大小,wdz
tm=2019-11-22 10:32:41,change:p9延迟显示酒馆武将信息界面,wdz
tm=2019-11-22 17:20:06,change:p9装备进阶调整,wdz
tm=2019-11-22 18:47:52,change:p9越南vip报错,wdz
tm=2019-11-22 19:58:58,change:p9邮件第一次登陆,wdz
tm=2019-11-25 18:01:12,change:p9聊天脏字过滤,wdz
tm=2019-11-25 18:59:21,change:p9改变预加载文件数量,wdz
tm=2019-11-27 11:15:11,change:p9武将界面优化,wdz
tm=2019-11-27 14:03:11,change:p9竞技场战力优化,装备升级调整,wdz
tm=2019-11-27 15:06:59,change:p9装备升级调整,wdz
tm=2019-11-27 16:03:31,change:p9战斗力计算调整,,wdz
tm=2019-11-27 20:12:01,change:p9装备界面延迟加载,wdz
tm=2019-11-28 10:43:35,change:p9兵法界面延迟加载,wdz
tm=2019-11-28 14:26:18,change:p9武将装备界面修复bug,wdz
tm=2019-11-28 19:28:55,change:p9武将背包修改,wdz
tm=2019-11-29 15:03:16,change:p9武将装备修改,仓库红点,装备刷新,仓库刷新,wdz
tm=2019-12-02 09:35:40,change:p9武将背包,装备icon简单创建,wdz
tm=2019-12-02 14:18:25,change:p9武将背包,加载优化,wdz
tm=2019-12-02 16:55:56,change:p9基础方法更改,GetItemListByBagType和GetItemListByBagType,wdz
tm=2019-12-04 09:55:32,change:p9副本分时加载,wdz
